"","titles","max.col"
"1","act on climate: steps to individual, community, and political action","democratic_keystems"
"2","administrative records quality assessment tool (hecra)","reflex_adpt_keystems"
"3","alianzas: un veh<ed>culo para lograr el desarrollo sostenible","democratic_keystems"
"4","beyond the sdgs (sdgs): addressing sustainability and development","policy_coh_keystems"
"5","biosphere 2 science for the future of our planet","reflex_adpt_keystems"
"6","book club with jeffrey sachs","participation_keystems"
"7","calidad de registros administrativos","policy_coh_keystems"
"8","circular economy and the 2030 agenda","participation_keystems"
"9","cities and the challenge of sustainable development","reflex_adpt_keystems"
"10","climate action: solutions for a changing planet","democratic_keystems"
"11","climate adaptation in africa","reflex_adpt_keystems"
"12","climate change and water in mountains: a global concern","participation_keystems"
"13","climate change mitigation in developing countries","democratic_keystems"
"14","climate change science & negotiations","participation_keystems"
"15","climate change: the science and global impact","reflex_adpt_keystems"
"16","communicating gender statistics","reflex_adpt_keystems"
"17","communicating statistics on women's economic empowerment","reflex_adpt_keystems"
"18","constructing producer price indexes and import and export price indexes","reflex_adpt_keystems"
"19","conversations with global leaders: leading on sustainable development","participation_keystems"
"20","data planning with adapt","reflex_adpt_keystems"
"21","designing a multidimensional poverty index","participation_keystems"
"22","ecological and energy transitions in southern countries","democratic_keystems"
"23","ecology: ecosystem dynamics and conservation","policy_coh_keystems"
"24","economic indicators","reflex_adpt_keystems"
"25","el snieg de mxico",NA
"26","environmental management & ethics",NA
"27","environmental security and sustaining peace","democratic_keystems"
"28","essential reading and understanding dhs program tables","reflex_adpt_keystems"
"29","ethics in action","participation_keystems"
"30","evaluation of  public policies and programmes","reflex_adpt_keystems"
"31","extractive sector: sustainability and development in latin america and the caribbean","democratic_keystems"
"32","feeding a hungry planet","participation_keystems"
"33","from climate science to action","participation_keystems"
"34","from the ground up: managing our terrestrial ecosystems","participation_keystems"
"35","frozen in the ice: exploring the arctic","reflex_adpt_keystems"
"36","fundamental principles of the official statistics","participation_keystems"
"37","geospatial information technology in fragile contexts","reflex_adpt_keystems"
"38","getting a good deal: negotiating extractive industry contracts","democratic_keystems"
"39","global energy and climate policy","participation_keystems"
"40","global environmental management","policy_coh_keystems"
"41","global public health","democratic_keystems"
"42","global warming ii: create your own models in python","reflex_adpt_keystems"
"43","globalization: past and future","policy_coh_keystems"
"44","governance for transboundary freshwater security","democratic_keystems"
"45","greening the economy: lessons from scandinavia","participation_keystems"
"46","how to achieve the sdgs","participation_keystems"
"47","human rights, environmental protection and climate change","democratic_keystems"
"48","human rights, human wrongs","democratic_keystems"
"49","industrial policy in the 21st century: the challenge for africa","democratic_keystems"
"50","integrated economic statistics to support 2008 sna implementation","reflex_adpt_keystems"
"51","international criminal law and transitional justice","democratic_keystems"
"52","international law in the 21st century","democratic_keystems"
"53","introduction to big data for sustainable development","reflex_adpt_keystems"
"54","introduction to environmental law and policy","democratic_keystems"
"55","introduction to sustainability","reflex_adpt_keystems"
"56","introduction to the arctic: climate","reflex_adpt_keystems"
"57","labor market information: business establishment surveys","reflex_adpt_keystems"
"58","labor market information: household labor force surveys","reflex_adpt_keystems"
"59","laudato si<u+0092>: on care for our common home",NA
"60","living heritage and sustainable development","participation_keystems"
"61","machine learning on satellite imagery","reflex_adpt_keystems"
"62","macroeconomics for a sustainable planet","policy_coh_keystems"
"63","master in anti-corruption and diplomacy","democratic_keystems"
"64","measuring productivity","reflex_adpt_keystems"
"65","measuring sustainable development","reflex_adpt_keystems"
"66","measuring sustainable development","reflex_adpt_keystems"
"67","national metadata for sdgs","reflex_adpt_keystems"
"68","national system of statistical and geographic information of mexico","reflex_adpt_keystems"
"69","natural resources for sustainable development","democratic_keystems"
"70","one planet, one ocean","democratic_keystems"
"71","our earth's future","participation_keystems"
"72","our earth: its climate, history, and processes","participation_keystems"
"73","our energy future","policy_coh_keystems"
"74","partnerships: a vehicle for sustainable development","participation_keystems"
"75","planetary boundaries and human opportunities","participation_keystems"
"76","planning for climate change in african cities","democratic_keystems"
"77","policy coherence and systems thinking for sustainable development","policy_coh_keystems"
"78","policy coherence for sustainable development","policy_coh_keystems"
"79","policy cycle, integrated approaches and sdgs for african ldcs","policy_coh_keystems"
"80","principles of sustainable research  business",NA
"81","questionnaire development and testing","reflex_adpt_keystems"
"82","raising ambition - how to set science-based targets aligning with 1.5c pathways",NA
"83","regulations of the national system of statistical and geographic information","reflex_adpt_keystems"
"84","sdg lab toolkit","participation_keystems"
"85","sdg primer","policy_coh_keystems"
"86","sector extractivo: sostenibilidad y desarrollo en am<e9>rica latina y el caribe","democratic_keystems"
"87","social indicators for public policies and programmes","reflex_adpt_keystems"
"88","social protection for sustainable development","democratic_keystems"
"89","statistical methods for correcting selection bias","reflex_adpt_keystems"
"90","survey skills development course","reflex_adpt_keystems"
"91","sustainable business: big issues, big changes","reflex_adpt_keystems"
"92","sustainable cities","democratic_keystems"
"93","sustainable development: the post-capitalist order","democratic_keystems"
"94","sustainable food systems: a mediterranean perspective","democratic_keystems"
"95","system dynamics-based development planning","participation_keystems"
"96","tech for good: the role of ict in achieving the sdgs","participation_keystems"
"97","the age of sustainable development","participation_keystems"
"98","the best start in life: early childhood development for sustainable development","democratic_keystems"
"99","the korean story: secrets of an economic miracle","democratic_keystems"
"100","the sdg primer","participation_keystems"
"101","the sdgs  a global, transdisciplinary vision for the future",NA
"102","the turn: from reactionary populism to a progressive alternative","democratic_keystems"
"103","transforming development: the science and practice of resilience thinking","democratic_keystems"
"104","transforming our world: achieving the sdgs","democratic_keystems"
"105","understanding poverty and inequality","democratic_keystems"
"106","unleashing the power of the private sector for the 2030 agenda - 2021","participation_keystems"
"107","water: addressing the global crisis","democratic_keystems"
"108","web data collection and analysis","reflex_adpt_keystems"
"109","work and employment for a sustainable future","reflex_adpt_keystems"
